fecha,medio,seguidores,texto,URL
"May 20th 2020, 14:50:00.000",latercera,"1,937,117",✅❎ #FactCheckingLT 82: ¿Mataderos son un foco de contagio? ¿Sirve la hidroxicloroquina que toma Trump para combatir… https://t.co/BZ4oF7l8rY,https://twitter.com/i/web/status/1263180188059226112
"May 20th 2020, 14:50:00.000",elmostrador,"1,747,917",VIDEO| Argentina concentra focos de contagio de coronavirus en villas más vulnerables de Buenos Aires… https://t.co/9SIyyna2oQ,https://twitter.com/i/web/status/1263180188025839616
"May 20th 2020, 14:45:08.000",DFinanciero,"195,425",Avance del Covid-19 en Chile: 53.617 contagiados y 544 muertes en Chile https://t.co/BD7JukOcFP https://t.co/UBZfGFOlmE,http://ow.ly/Lmhm50zLR9O
"May 20th 2020, 14:15:23.000",elmostrador,"1,747,910",MUNDO| Coronavirus sigue sin dar señales de tregua: OMS registró el peak de contagios diarios a nivel mundial… https://t.co/fAXkLi8NHg,https://twitter.com/i/web/status/1263171478926827523
"May 20th 2020, 13:45:58.000",Tele13_Radio,"135,608","📰TITULARES 1⃣Chile superó los 50 mil contagios, en las últimas 24 horas se registraron 4.038 nuevos casos y 35 fall… https://t.co/rUDFa9xihr",https://twitter.com/i/web/status/1263164074596188165
"May 20th 2020, 13:38:04.000",thecliniccl,"1,850,656","La nueva definición se refiere a personas que al presentar síntomas, el examen PCR da un resultado indeterminado. https://t.co/6bnf0nbry9",https://www.theclinic.cl/2020/05/20/casos-probables-minsal-agrega-nueva-categoria-en-recuento-de-contagios-por-covid-19/
"May 20th 2020, 13:29:00.000",uchileradio,"135,263","De acuerdo a los datos que maneja la organización, el número de indígenas contagiados por la nueva cepa de coronavi… https://t.co/PUZPRF9Co8",https://twitter.com/i/web/status/1263159803905363974
"May 20th 2020, 13:25:58.000",Cooperativa,"2,917,590",[Audio] Titular de salud explicó por qué ministros sospechosos de contagio volvieron a trabajar en cinco días… https://t.co/LJJGc5Ll6M,https://twitter.com/i/web/status/1263159041854824448
"May 20th 2020, 13:15:05.000",thecliniccl,"1,850,665",Boris Johnson promete 25.000 personas rastreadoras de contagios en Reino Unido. https://t.co/coJ1pVWl33,https://www.theclinic.cl/2020/05/20/boris-johnson-promete-25-000-personas-rastreadoras-de-contagios-en-reino-unido/
"May 20th 2020, 13:14:49.000",T13,"3,207,784",Chile supera los 50 mil contagios por COVID-19. Los anuncios realizados por el Minsal en detalle con @Alvaropaci… https://t.co/WEVnyNSu1A,https://twitter.com/i/web/status/1263156236226367488
